매출일자,품명,수량
20031124,점심식사,50.25270758
20031124,저녁식사,21.08303249
20031125,아침식사,41.94945848
20031125,점심식사,48.95306859
20031125,저녁식사,21.58844765
20031126,아침식사,41.94945848
20031126,점심식사,46.93140794
20031126,저녁식사,22.52707581
20031127,아침식사,42.88808664
20031127,점심식사,42.23826715
20031127,저녁식사,20
20031128,아침식사,38.98916968
20031128,점심식사,36.02888087
20031128,저녁식사,19.42238267
20031129,아침식사,37.83393502
20031129,점심식사,24.18772563
20031129,저녁식사,20.28880866
20031130,아침식사,39.63898917
20031130,점심식사,23.03249097
20031130,저녁식사,16.67870036
20031201,아침식사,39.63898917
20031201,점심식사,46.06498195
20031201,저녁식사,22.02166065
20031202,아침식사,39.92779783
20031202,점심식사,42.09386282
20031202,저녁식사,19.92779783
20031203,아침식사,40
20031203,점심식사,46.35379061
20031203,저녁식사,20.2166065
20031204,아침식사,41.87725632
20031204,점심식사,44.62093863
20031204,저녁식사,18.62815884
20031205,아침식사,40.433213
20031205,점심식사,47.07581227
20031205,저녁식사,16.75090253
20031206,아침식사,37.11191336
20031206,점심식사,24.11552347
20031206,저녁식사,15.7400722
20031207,아침식사,36.60649819
20031207,점심식사,36.89530686
20031207,저녁식사,15.30685921
20031208,아침식사,39.20577617
20031208,점심식사,46.42599278
20031208,저녁식사,21.87725632
20031209,아침식사,38.26714801
20031209,점심식사,44.11552347
20031209,저녁식사,19.42238267
20031210,아침식사,39.63898917
20031210,점심식사,46.06498195
20031210,저녁식사,19.49458484
20031211,아침식사,40.57761733
20031211,점심식사,45.41516245
20031211,저녁식사,21.66064982
20031212,아침식사,42.09386282
20031212,점심식사,45.19855596
20031212,저녁식사,17.90613718
20031213,아침식사,35.09025271
20031213,점심식사,26.71480144
20031213,저녁식사,15.37906137
20031214,아침식사,36.31768953
20031214,점심식사,21.66064982
20031214,저녁식사,15.81227437
20031215,아침식사,38.55595668
20031215,점심식사,49.16967509
20031215,저녁식사,24.0433213
20031216,아침식사,41.08303249
20031216,점심식사,54.29602888
20031216,저녁식사,22.02166065
20031217,아침식사,43.17689531
20031217,점심식사,46.64259928
20031217,저녁식사,20.36101083
20031218,아침식사,45.92057762
20031218,점심식사,43.8267148
20031218,저녁식사,21.08303249
20031219,아침식사,43.53790614
20031219,점심식사,45.55956679
20031219,저녁식사,17.76173285
20031220,아침식사,38.91696751
20031220,점심식사,26.13718412
20031220,저녁식사,16.24548736
20031221,아침식사,37.03971119
20031221,점심식사,26.49819495
20031221,저녁식사,16.10108303
20031222,아침식사,47.07581227
20031222,점심식사,51.19133574
20031222,저녁식사,21.58844765
20031223,아침식사,47.50902527
20031223,점심식사,45.84837545
20031223,저녁식사,22.67148014
20031224,아침식사,47.14801444
20031224,점심식사,49.38628159
20031224,저녁식사,19.566787
20031225,아침식사,40.28880866
20031225,점심식사,32.92418773
20031225,저녁식사,18.70036101
20031226,아침식사,43.24909747
20031226,점심식사,46.85920578
20031226,저녁식사,17.03971119
20031227,아침식사,37.90613718
20031227,점심식사,24.98194946
20031227,저녁식사,16.31768953
20031228,아침식사,36.67870036
20031228,점심식사,24.62093863
20031228,저녁식사,17.25631769
20031229,아침식사,45.99277978
20031229,점심식사,50.75812274
